airline_id	compagnie	canal	disponibilite_actuelle	ensemble	url_officielle_candidate	fait_exact_a_etablir	rule_id
airline_south_african_airways	South African Airways	cabin	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	
airline_tui_airways	TUI Airways	cabin	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	
airline_tui_airways	TUI Airways	hold	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en hold — phrase de refus, sans condition de route, de poids ni de saison.	
airline_aer_lingus	Aer Lingus	cabin	not_offered	B — page officielle non citée	https://www.aerlingus.com/prepare/bags/travelling-with-pets/	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_aer_lingus_no_cabin
airline_aer_lingus	Aer Lingus	hold	not_offered	B — page officielle non citée	https://www.aerlingus.com/prepare/bags/travelling-with-pets/	La compagnie n'accepte AUCUN chien en hold — phrase de refus, sans condition de route, de poids ni de saison.	rule_aer_lingus_no_cabin
airline_air_china	Air China	cabin	not_offered	B — page officielle non citée	https://www.airchina.us/US/GB/info/assistance/pets.html	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_air_china_hold_weight
airline_air_mauritius	Air Mauritius	cabin	not_offered	B — page officielle non citée	https://www.airmauritius.com/en/before-you-fly/travel-information/assistance-and-health/travelling-with-pets	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_air_mauritius_no_cabin
airline_air_new_zealand	Air New Zealand	cabin	not_offered	B — page officielle non citée	https://www.airnewzealand.com/en-nz/travel-info/accessibility-and-assistance/travelling-with-pets	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_air_new_zealand_hold_weight
airline_american	American Airlines	hold	not_offered	B — page officielle non citée	https://www.aa.com/i18n/travel-info/special-assistance/pets.jsp	La compagnie n'accepte AUCUN chien en hold — phrase de refus, sans condition de route, de poids ni de saison.	rule_aa_cabin_weight
airline_ana	ANA (All Nippon Airways)	cabin	not_offered	B — page officielle non citée	https://www.ana.co.jp/en/us/travel-information/pet-policy/	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_ana_no_cabin
airline_british_airways	British Airways	hold	not_offered	B — page officielle non citée	https://www.britishairways.com/content/information/travel-assistance/travelling-with-pets	La compagnie n'accepte AUCUN chien en hold — phrase de refus, sans condition de route, de poids ni de saison.	rule_british_airways_no_cabin
airline_cathay_pacific	Cathay Pacific	cabin	not_offered	B — page officielle non citée	https://www.cathaypacific.com/cx/en_US/faqs/baggage/cabin-baggage-allowance/are-pets-allowed-in-the-cabin.html	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_cathay_pacific_no_cabin
airline_china_airlines	China Airlines	cabin	not_offered	B — page officielle non citée	https://www.china-airlines.com/tw/en/prepare-for-the-fly/information/baggage/pet-transport	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_china_airlines_no_cabin
airline_china_eastern	China Eastern Airlines	cabin	not_offered	B — page officielle non citée	https://www.ceair.com/global/en_static/Announcement/TravelTips/SpecialPassengerServiceNotice/LittleAnimal/	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_china_eastern_hold_weight
airline_china_southern	China Southern Airlines	cabin	not_offered	B — page officielle non citée	https://www.csair.com/newh5/en/tourguide/luggage_service/pets/	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_china_southern_hold_weight
airline_delta	Delta Air Lines	cargo	not_offered	B — page officielle non citée	https://www.delta.com/us/en/pet-travel/overview	La compagnie n'accepte AUCUN chien en cargo — phrase de refus, sans condition de route, de poids ni de saison.	rule_dl_cabin_weight
airline_delta	Delta Air Lines	hold	not_offered	B — page officielle non citée	https://www.delta.com/us/en/pet-travel/overview	La compagnie n'accepte AUCUN chien en hold — phrase de refus, sans condition de route, de poids ni de saison.	rule_dl_cabin_weight
airline_emirates	Emirates	cabin	not_offered	B — page officielle non citée	https://www.emirates.com/us/english/help/faqs/what-are-the-rules-and-charges-for-travelling-with-animals/	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_emirates_no_cabin
airline_eva_air	EVA Air	cabin	not_offered	B — page officielle non citée	https://www.evaair.com/en-global/fly-prepare/baggage/travelling-with-pets/	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_eva_air_no_cabin
airline_icelandair	Icelandair	cabin	not_offered	B — page officielle non citée	https://www.icelandair.com/support/special-assistance/animal-transportation/	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_icelandair_no_cabin
airline_icelandair	Icelandair	cargo	not_offered	B — page officielle non citée	https://www.icelandair.com/support/special-assistance/animal-transportation/	La compagnie n'accepte AUCUN chien en cargo — phrase de refus, sans condition de route, de poids ni de saison.	rule_icelandair_no_cabin
airline_icelandair	Icelandair	hold	not_offered	B — page officielle non citée	https://www.icelandair.com/support/special-assistance/animal-transportation/	La compagnie n'accepte AUCUN chien en hold — phrase de refus, sans condition de route, de poids ni de saison.	rule_icelandair_no_cabin
airline_indigo	IndiGo	cabin	not_offered	B — page officielle non citée	https://www.goindigo.in/information/conditions-of-carriage.html	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_indigo_no_cabin
airline_indigo	IndiGo	cargo	not_offered	B — page officielle non citée	https://www.goindigo.in/information/conditions-of-carriage.html	La compagnie n'accepte AUCUN chien en cargo — phrase de refus, sans condition de route, de poids ni de saison.	rule_indigo_no_cabin
airline_indigo	IndiGo	hold	not_offered	B — page officielle non citée	https://www.goindigo.in/information/conditions-of-carriage.html	La compagnie n'accepte AUCUN chien en hold — phrase de refus, sans condition de route, de poids ni de saison.	rule_indigo_no_cabin
airline_jal	Japan Airlines (JAL)	cabin	not_offered	B — page officielle non citée	https://www.jal.co.jp/jp/en/inter/support/pet/	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_jal_no_cabin
airline_malaysia_airlines	Malaysia Airlines	cabin	not_offered	B — page officielle non citée	https://www.askmh.malaysiaairlines.com/faq/s/article/Can-I-carry-domestic-pets-in-the-cabin	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_malaysia_airlines_no_cabin
airline_qantas	Qantas	cabin	not_offered	B — page officielle non citée	https://www.qantas.com/en-gb/travel-information/pets	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_qantas_no_cabin
airline_qatar_airways	Qatar Airways	cabin	not_offered	B — page officielle non citée	https://www.qatarairways.com/en-us/baggage/animals.html	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_qatar_airways_no_cabin
airline_ryanair	Ryanair	cabin	not_offered	B — page officielle non citée	https://help.ryanair.com/hc/en-us/sections/12489582839441-Guide-Assistance-Dogs	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_ryanair_no_cabin
airline_ryanair	Ryanair	cargo	not_offered	B — page officielle non citée	https://help.ryanair.com/hc/en-us/sections/12489582839441-Guide-Assistance-Dogs	La compagnie n'accepte AUCUN chien en cargo — phrase de refus, sans condition de route, de poids ni de saison.	rule_ryanair_no_cabin
airline_ryanair	Ryanair	hold	not_offered	B — page officielle non citée	https://help.ryanair.com/hc/en-us/sections/12489582839441-Guide-Assistance-Dogs	La compagnie n'accepte AUCUN chien en hold — phrase de refus, sans condition de route, de poids ni de saison.	rule_ryanair_no_cabin
airline_singapore_airlines	Singapore Airlines	cabin	not_offered	B — page officielle non citée	https://www.singaporeair.com/en_UK/us/travel-info/special-assistance/travelling-with-pets/	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_singapore_airlines_no_cabin
airline_united	United Airlines	cargo	not_offered	B — page officielle non citée	https://www.united.com/en/us/fly/travel/traveling-with-pets.html	La compagnie n'accepte AUCUN chien en cargo — phrase de refus, sans condition de route, de poids ni de saison.	rule_ua_cabin_weight
airline_united	United Airlines	hold	not_offered	B — page officielle non citée	https://www.united.com/en/us/fly/travel/traveling-with-pets.html	La compagnie n'accepte AUCUN chien en hold — phrase de refus, sans condition de route, de poids ni de saison.	rule_ua_cabin_weight
airline_virgin_atlantic	Virgin Atlantic	cabin	not_offered	B — page officielle non citée	https://www.virginatlantic.com/gb/en/travel-information/travelling-with-pets	La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	rule_virgin_no_cabin
airline_virgin_atlantic	Virgin Atlantic	hold	not_offered	B — page officielle non citée	https://www.virginatlantic.com/gb/en/travel-information/travelling-with-pets	La compagnie n'accepte AUCUN chien en hold — phrase de refus, sans condition de route, de poids ni de saison.	rule_virgin_no_cabin
