airline_id	channel	service_status	fare_nature	amount	currency	structured_scope_origin_destination_region	billing_subject_and_journey_basis	booking_deadline	official_url	locator	quote_le_25_mots	page_date_visible	verified_date	yaml_legacy	policies_finder_wiring	assessment
qatar_airways	cargo	OFFERED	SUR_DEVIS			Over 75kg/300cm; unaccompanied/interline cases	shipment	Contact Qatar Airways Cargo	https://www.qatarairways.com/en-am/baggage/animals.html	Animals as cargo	must be transported as cargo	NON_VISIBLE	2026-09-10	quote	NON	MATCH
royal_air_maroc	cabin	OFFERED	MATRIX	290 domestic; 640/70 Europe-Maghreb; 1150/120 long-haul	MAD; EUR; USD; CAD	Domestic; Europe/Maghreb; long-haul	per animal	At reservation and at least 48h	https://pre.royalairmaroc.com/us-en/information/travel-with-animals	Pet fees table	Long-haul: MAD 1150 / EUR 120	NON_VISIBLE	2026-09-10	broad matching matrix	NON	MATCH; official page is on pre. subdomain
royal_air_maroc	hold	OFFERED	MATRIX	580–5180 MAD; 60–520 EUR/USD/CAD	MAD; EUR; USD; CAD	3 weight bands x route zones	per animal/container	At reservation and at least 48h	https://pre.royalairmaroc.com/us-en/information/travel-with-animals	Pet fees table	47–70 kg, long-haul: MAD 5180	NON_VISIBLE	2026-09-10	broad matching matrix	NON	MATCH
royal_air_maroc	cargo	RESTRICTED	NON_TROUVE			Above passenger-hold thresholds	shipment	Contact airline/cargo	https://pre.royalairmaroc.com/us-en/information/travel-with-animals	Heavy animals	Maximum weight is 70 kg	NON_VISIBLE	2026-09-10	quote/editorial	NON	No public exact cargo fare found
royal_jordanian	cabin	OFFERED	MATRIX	60–185	USD	Aqaba; Beirut; Middle East; Europe zones	per animal	At least 48h	https://www.rj.com/en/info-and-tips/special-services/flying-with-pets	PETC charges	Middle East: USD 85	NON_VISIBLE	2026-09-10	USD60–185	NON	MATCH
royal_jordanian	hold	OFFERED	MATRIX	60–800; special formula >45kg	USD	Aqaba and regional zones; crate sizes	per animal/container	At least 48h	https://www.rj.com/en/info-and-tips/special-services/flying-with-pets	Large kennel matrix → Europe row; Aqaba values at following station rows	Europe | $600 | $600 | $600 | $800	NON_VISIBLE	2026-09-10	USD175–800 plus AQJ	NON	MATCH; locator contains Aqaba 60/90/120 and the >45kg formula
royal_jordanian	cargo	NON_ETABLI	NON_TROUVE					NON_TROUVE	https://www.rj.com/en/info-and-tips/special-services/flying-with-pets	No separate cargo tariff found	Please contact Royal Jordanian	NON_VISIBLE	2026-09-10	quote	NON	NON_TROUVE
ryanair	cabin	NOT_OFFERED	SANS_OBJET			Ordinary pets; recognised assistance dogs excepted			https://help.ryanair.com/hc/en-ie/articles/12890968181521-Does-Ryanair-carry-animals	Help centre	We do not carry animals	NON_VISIBLE	2026-09-10	denied	NON	MATCH
ryanair	hold	NOT_OFFERED	SANS_OBJET			All routes			https://help.ryanair.com/hc/en-ie/articles/12890968181521-Does-Ryanair-carry-animals	Help centre	We do not carry animals	NON_VISIBLE	2026-09-10	denied	NON	MATCH
ryanair	cargo	NOT_OFFERED	SANS_OBJET			All routes			https://help.ryanair.com/hc/en-ie/articles/12890968181521-Does-Ryanair-carry-animals	Help centre	We do not carry animals	NON_VISIBLE	2026-09-10	denied	NON	MATCH
sas	cabin	OFFERED	MATRIX	420/550/550/55/60; 550/750/750/75/80; 740/990/990/99/105; 1100/1540/1540/149/159	DKK; NOK; SEK; EUR; USD	1 Domestic; 2 Scandinavia-Europe-Middle East; 3 Asia-Canada-US; 4 China	per container; per flight; one-way	At booking or up to 24h; subject to capacity	https://www.flysas.com/us-en/travel-info/travel-with-pets/in-hold	Fees → Pet in cabin → Domestic	Domestic: 420 DKK, 550 NOK, 550 SEK, 55 EUR, 60 USD	NON_VISIBLE	2026-09-10	EUR55–149	NON	MATCH; locator carries all four rows; per container/one-way and per-flight basis recorded separately
sas	hold	OFFERED	MATRIX	680/950/950/90/100; 1250/1740/1740/169/195; 2500/3500/3500/340/370; 5400/7600/7600/725/775	DKK; NOK; SEK; EUR; USD	1 Domestic; 2 Scandinavia-Europe-Middle East; 3 Asia-Canada-US; 4 China	per container; per flight; one-way	At booking or up to 24h; subject to capacity	https://www.flysas.com/us-en/travel-info/travel-with-pets/in-hold	Fees → Pet in cargo hold → China	China: 5400 DKK, 7600 NOK, 7600 SEK, 725 EUR, 775 USD	NON_VISIBLE	2026-09-10	EUR90–725	NON	MATCH; locator carries all four rows; per container/one-way and per-flight basis recorded separately
sas	cargo	RESTRICTED	SUR_DEVIS			China, UK, UAE or when passenger criteria fail	shipment	Contact freight forwarder	https://www.flysas.com/us-en/travel-info/travel-with-pets/in-hold	Cargo-required cases	must be transported as cargo	NON_VISIBLE	2026-09-10	quote	NON	MATCH
saudia	cabin	NON_ETABLI	NON_TROUVE					NON_TROUVE		Official production page inaccessible; UAT excluded	No usable current production quotation	NON_VISIBLE	2026-09-10	USD100	NON	UNPROVEN: do not reuse UAT USD100 as current official proof
saudia	hold	NON_ETABLI	NON_TROUVE					NON_TROUVE		Official production page inaccessible; UAT excluded	No usable current production quotation	NON_VISIBLE	2026-09-10	USD300	NON	UNPROVEN: do not reuse UAT USD300 as current official proof
saudia	cargo	NON_ETABLI	NON_TROUVE					NON_TROUVE		Official production page inaccessible; UAT excluded	No usable current production quotation	NON_VISIBLE	2026-09-10	quote	NON	NON_TROUVE; no deduction from silence
singapore_airlines	cabin	NOT_OFFERED	SANS_OBJET			Ordinary pets			https://www.singaporeair.com/en_UK/in/travel-info/special-assistance/travelling-with-pets/	Travelling with pets	Pets cannot travel in the cabin	NON_VISIBLE	2026-09-10	denied	NON	MATCH
singapore_airlines	hold	OFFERED	FORMULA	Additional baggage rate; USA: two additional pieces charged separately	ROUTE CURRENCY	Network; special piece treatment to/from USA	pet+container; weight, or two pieces for USA	Contact at least 2 weeks before departure	https://www.singaporeair.com/en_UK/in/travel-info/special-assistance/travelling-with-pets/	Fees for travelling with pets	charged as additional baggage	NON_VISIBLE	2026-09-10	extra-baggage editorial	NON	MATCH broad; no single pet-specific exact amount
singapore_airlines	cargo	RESTRICTED	SUR_DEVIS			Typically >32kg or non-passenger cases	shipment	Contact cargo agent	https://www.singaporeair.com/en_UK/in/travel-info/special-assistance/travelling-with-pets/	Cargo referral	contact your local cargo agent	NON_VISIBLE	2026-09-10	quote	NON	MATCH
sky_express	cabin	OFFERED	EXACT	35 domestic; 65 international	EUR	Domestic Greece; international	per animal	At least 24h	https://www.skyexpress.gr/en/sky-experience/sky-pets	SKY Pets fees	€35 domestic; €65 international	NON_VISIBLE	2026-09-10	EUR35/65	NON	MATCH
sky_express	hold	RESTRICTED	EXACT	50	EUR	ATR-operated flights only	per animal	At least 24h	https://www.skyexpress.gr/en/sky-experience/sky-pets	In the cargo hold → Transport charge	Transport charge 50€	NON_VISIBLE	2026-09-10	EUR50; ATR only	NON	MATCH
sky_express	cargo	NON_ETABLI	NON_TROUVE					NON_TROUVE	https://www.skyexpress.gr/en/sky-experience/sky-pets	No cargo fare found	Only on ATR aircraft	NON_VISIBLE	2026-09-10	none	NON	NON_TROUVE
smartwings	cabin	OFFERED	EXACT	120 / 144 / 3000	EUR; USD; CZK	Per eligible flight leg	per animal; per leg	At least 48h by phone	https://www.smartwings.com/en/fees-and-charges/?layout=default	Animals in cabin	EUR 120 / USD 144 / CZK 3000	NON_VISIBLE	2026-09-10	EUR100	NON	STALE: current official fare is EUR120
smartwings	hold	OFFERED	EXACT	220 / 263 / 5500	EUR; USD; CZK	Per eligible flight leg	per animal; per leg	At least 48h by phone	https://www.smartwings.com/en/fees-and-charges/?layout=default	Animals in hold	EUR 220 / USD 263 / CZK 5500	NON_VISIBLE	2026-09-10	EUR200	NON	STALE: current official fare is EUR220
smartwings	cargo	NON_ETABLI	NON_TROUVE			Possible route-specific cargo handling		Contact carrier	https://www.smartwings.com/en/can-i-fly-with-my-pet	Pet booking page	book no later than 48 hours	NON_VISIBLE	2026-09-10	quote/editorial	NON	No current public dog-cargo fare
south_african_airways	cabin	NOT_OFFERED	SANS_OBJET			Ordinary pets			https://www.flysaa.com/manage-fly/baggage/checked-baggage/animals?inheritRedirect=true	Animals policy	Pets are not permitted in the cabin	NON_VISIBLE	2026-09-10	denied	NON	MATCH
south_african_airways	hold	OFFERED	CONFLICT	300 English; 250 Portuguese	ZAR	Domestic South Africa	per container <=23kg	Arrange in advance; page recommends about one week	https://www.flysaa.com/manage-fly/baggage/checked-baggage/animals?inheritRedirect=true	Domestic pet fee	ZAR 300 including VAT	NON_VISIBLE	2026-09-10	ZAR300 plus conflict note	NON	OFFICIAL LOCALE CONFLICT: English 300, Portuguese 250
south_african_airways	cargo	OFFERED	SUR_DEVIS			International manifested cargo under AWB	shipment	Arrange through cargo agent	https://www.flysaa.com/manage-fly/baggage/checked-baggage/animals?inheritRedirect=true	International animals	must be booked as manifest cargo	NON_VISIBLE	2026-09-10	quote	NON	MATCH
sunexpress	cabin	OFFERED	MATRIX	from 89.99 international; Ercan 15 prepaid/20 airport; domestic 599 prepaid/650 airport	EUR; TRY	International; Ercan; domestic Turkey; not UK	per animal; one-way	No later than 3 working days	https://www.sunexpress.com/en-gb/information/luggage-info/transporting-animals/	Pet fees	from €89.99 per one-way flight	NON_VISIBLE	2026-09-10	starting values	NON	MATCH but legacy omits airport rates and route exclusions
sunexpress	hold	RESTRICTED	CONFLICT	from119.99 prepaid/from160 airport international; Ercan 20 prepaid/25 airport; domestic850	EUR; TRY	Not UK; to Dubai/Abu Dhabi cargo only; outbound UAE differs	per animal; one-way	No later than 3 working days	https://www.sunexpress.com/en-gb/information/luggage-info/transporting-animals/	Hold fees	from €119.99 when booked in advance	NON_VISIBLE	2026-09-10	starting values	NON	Official locale conflict: English Ercan airport 25, Turkish locale 15
sunexpress	cargo	RESTRICTED	SUR_DEVIS			Required into Dubai/Abu Dhabi and other excluded cases	shipment	Contact cargo; >=3 working days prudent	https://www.sunexpress.com/en-gb/information/luggage-info/transporting-animals/	UAE restrictions	transportation is only possible as cargo	NON_VISIBLE	2026-09-10	quote	NON	MATCH
swiss	cabin	OFFERED	MATRIX	75–140 CHF; 65–125 EUR; 80–145 USD; Japan 105/85/115	CHF; EUR; USD	7 zones: Switzerland, Europe, Levant/N Africa, short/medium/long intercontinental, Japan	per container/journey component	Book as early as possible	https://www.swiss.com/gb/en/prepare/special-care/animals-travelling.html	Price table → Within Switzerland → cabin column	Within Switzerland CHF 75 EUR 65 USD 80	NON_VISIBLE	2026-09-10	CHF/EUR broad range	NON	MATCH; locator carries seven-zone matrix
swiss	hold	OFFERED	MATRIX	90–440 CHF; 80–380 EUR; 95–445 USD	CHF; EUR; USD	Same 7 zones; small/large container; transfer surcharge possible	per container; route	Book as early as possible	https://www.swiss.com/gb/en/prepare/special-care/animals-travelling.html	Price table → Long-haul intercontinental → hold crate size 2–5	CHF 440 EUR 380 USD 445	NON_VISIBLE	2026-09-10	broad ranges	NON	MATCH; preserve transfer surcharge EUR150/CHF170/USD170/CAD220
swiss	cargo	OFFERED	SUR_DEVIS			SWISS WorldCargo cases	shipment	Contact WorldCargo	https://www.swiss.com/gb/en/prepare/special-care/animals-travelling.html	Cargo referral	transported as cargo	NON_VISIBLE	2026-09-10	quote	NON	MATCH
tap	cabin	OFFERED	RANGE	40–180	EUR	Domestic, Europe, intercontinental; online/call/airport; season	per route	Up to 24h; subject availability	https://www.flytap.com/pt-br/informacoes/viajar-com-animais/animais-estimacao	Cabin table → high season → airport/agency → intercontinental	Voos intercontinentais: desde 180 EUR / 218 USD / 302 CAD ou 36.000 milhas	NON_VISIBLE	2026-09-10	EUR40–180	NON	MATCH; locator also carries the 40 EUR low-season online minimum
tap	hold	OFFERED	RANGE	78–250 <=32kg; 128–320 32–45kg	EUR	Route, weight, season and purchase channel	per route; pet+container	Up to 24h; subject availability	https://www.flytap.com/pt-br/informacoes/viajar-com-animais/animais-estimacao	Hold 32–45kg table → high season → airport/agency → intercontinental	Voos intercontinentais: 320 EUR / 379 USD / 529 CAD ou 64.000 milhas	2026/27 season dates visible	2026-09-10	matching ranges	NON	MATCH; locator also carries low-season and lower-weight minima
tap	cargo	RESTRICTED	SUR_DEVIS			Over limits; Lisbon–Luanda always cargo	shipment	Contact TAP Cargo	https://www.flytap.com/pt-br/informacoes/viajar-com-animais/animais-estimacao	Cargo-required cases	deverá ser transportado como carga	NON_VISIBLE	2026-09-10	quote	NON	MATCH
tarom	cabin	OFFERED	MATRIX	40 / 65 / 120	EUR	Zones 1 / 2 / 3	per animal	Register >=48h; call no later than 24h	https://www.tarom.ro/en/passenger-information/special-baggage	Pets charges	Zone 1: EUR 40	NON_VISIBLE	2026-09-10	EUR40/65/120	NON	MATCH
tarom	hold	RESTRICTED	MATRIX	60 / 110 / 220	EUR	Zones 1 / 2 / 3; no AVIH on A320	per animal/container	Register >=48h; call no later than 24h	https://www.tarom.ro/en/travelling-with-pets/in-aircraft-hold	Hold pet charges	Zone 1: EUR 60	NON_VISIBLE	2026-09-10	EUR60/110/220	NON	MATCH
tarom	cargo	RESTRICTED	NON_TROUVE			Dogs over 40kg	shipment	Contact cargo	https://www.tarom.ro/en/travelling-with-pets/in-aircraft-hold	Heavy dog referral	more than 40 kg as cargo	NON_VISIBLE	2026-09-10	quote	NON	No public exact cargo fare
thai_airways	cabin	NOT_OFFERED	SANS_OBJET			Ordinary pets			https://www.thaiairways.com/en-tw/content/special-assistance/travel-with-pets/pets-as-checked-baggage-avih/	AVIH policy	Pets are accepted as checked baggage	Effective 2026-03-02	2026-09-10	denied	NON	MATCH
thai_airways	hold	OFFERED	MATRIX	1500 domestic; 320 <=32kg international; 540 32–70kg international	THB; USD	Domestic Thailand versus international; weight bands	pet+container	At least 3 working days	https://www.thaiairways.com/en-tw/content/special-assistance/travel-with-pets/pets-as-checked-baggage-avih/	AVIH charges	USD 320 up to 32 kilograms	Effective 2026-03-02	2026-09-10	THB1500; USD320/540	NON	MATCH; official locale/table presentation has THB inconsistency, retain caveat
thai_airways	cargo	OFFERED	SUR_DEVIS			Thai Cargo cases	shipment	Contact Thai Cargo	https://www.thaiairways.com/en-tw/content/special-assistance/travel-with-pets/pets-as-checked-baggage-avih/	Cargo referral	contact THAI Cargo	Effective 2026-03-02	2026-09-10	quote	NON	MATCH
transavia	cabin	OFFERED	RANGE	50 HV; 60–180 TO	EUR	Transavia Netherlands versus France/route	per pet; one-way	Add online as early as possible	https://www.transavia.com/hilfe/de-de/kinder-haustiere-gruppen/haustiere-im-flugzeug/kabine	Cabin pet price	50 € pro Tier und einfache Strecke	NON_VISIBLE	2026-09-10	EUR50; EUR60–180	NON	MATCH
transavia	hold	OFFERED	RANGE	77 HV; from100 TO	EUR	Operator and route	per kennel/crate; one-way	Add online as early as possible	https://www.transavia.com/help/en-eu/children-pets-groups/pets-on-board/hold-luggage-pet	Hold pet price	€77 per kennel, one way	NON_VISIBLE	2026-09-10	EUR77; from100	NON	MATCH
transavia	cargo	NOT_OFFERED	SANS_OBJET			No separate passenger-facing cargo product established			https://www.transavia.com/help/en-eu/children-pets-groups/pets-on-board/hold-luggage-pet	Transport channels	transported in the hold	NON_VISIBLE	2026-09-10	none	NON	No separate cargo tariff
tui_airways	cabin	NOT_OFFERED	SANS_OBJET			Ordinary pets			https://www.tui.co.uk/destinations/faq/airport-flights-and-luggage/flight-information/can-i-take-my-pet-with-me	TUI flight FAQ	Pets travel in the aircraft hold	NON_VISIBLE	2026-09-10	denied	NON	MATCH
tui_airways	hold	NOT_OFFERED	SANS_OBJET			Not accepted as passenger checked baggage			https://www.tui.co.uk/destinations/faq/airport-flights-and-luggage/flight-information/can-i-take-my-pet-with-me	TUI flight FAQ	carried as cargo	NON_VISIBLE	2026-09-10	denied/passenger hold	NON	MATCH
tui_airways	cargo	OFFERED	SUR_DEVIS			ECS Group cargo	shipment	Contact before booking	https://www.tui.co.uk/destinations/faq/airport-flights-and-luggage/flight-information/can-i-take-my-pet-with-me	Cargo booking	contact ECS Group	NON_VISIBLE	2026-09-10	quote	NON	MATCH
tunisair	cabin	OFFERED	MATRIX	100/125/175/225/100 ex-Tunisia; 50/75/100/125/275 ex-foreign	TND; EUR or local currency	Zones 1–5 and point of departure	pet+crate as excess baggage	NON_TROUVE	https://www.tunisair.com/fr-de/guide-utilisateur/preparez-vos-bagages	Tariff table → départ Tunisie → PETC	PETC (Pet in Cabin : Max 8Kg) | 100 | 125 | 175 | 225 | 100	NON_VISIBLE	2026-09-10	EUR50–275; TND100–225	NON	MATCH; following foreign-departure PETC row carries 50/75/100/125/275
tunisair	hold	OFFERED	MATRIX	125/175/225/275/125 ex-Tunisia; 75/100/125/150/400 ex-foreign	TND; EUR or local currency	Zones 1–5 and point of departure	pet+crate as excess baggage	NON_TROUVE	https://www.tunisair.com/fr-de/guide-utilisateur/preparez-vos-bagages	Tariff table → départ étranger → AVIH	AVIH (Live Animal in Hold plus que 8 Kg et jusqu'a 32 Kg Max) | 75 | 100 | 125 | 150 | 400	NON_VISIBLE	2026-09-10	EUR75–400; TND125–275	NON	MATCH; preceding Tunisia-departure AVIH row carries 125/175/225/275/125
tunisair	cargo	NON_ETABLI	NON_TROUVE				shipment	Contact cargo	https://www.tunisair.com/fr-de/guide-utilisateur/preparez-vos-bagages	No separate cargo fare found	Tarifs selon zone de voyage	NON_VISIBLE	2026-09-10	quote	NON	NON_TROUVE
turkish	cabin	OFFERED	CALCULATOR		ROUTE CURRENCY	Route-based calculator; <=8kg PETC	per carrier; each segment separately	Book in PNR; limited capacity	https://www.turkishairlines.com/en-kt/any-questions/traveling-with-pets/fees-for-carrying-pets/	Pet fee calculator	calculated separately for each flight	NON_VISIBLE	2026-09-10	calculator/route quote	NON	MATCH
turkish	hold	OFFERED	CALCULATOR		ROUTE CURRENCY	Route calculator; 0–23, 24–32, 33+kg	per carrier; each segment separately	Book in PNR; limited capacity	https://www.turkishairlines.com/en-kt/any-questions/traveling-with-pets/fees-for-carrying-pets/	Pet fee calculator	fees are charged per carrier	NON_VISIBLE	2026-09-10	calculator/route quote	NON	MATCH
turkish	cargo	OFFERED	SUR_DEVIS			Cargo-required cases	shipment	Contact Turkish Cargo	https://www.turkishairlines.com/en-kt/any-questions/traveling-with-pets/fees-for-carrying-pets/	Cargo referral	transported by Turkish Cargo	NON_VISIBLE	2026-09-10	quote	NON	MATCH
united	cabin	OFFERED	NON_TROUVE			Eligible domestic/international routes per policy	per pet; one-way/segment not independently captured	Book in advance	https://www.united.com/en/us/fly/travel/traveling-with-pets.html?os=v	Official JS-only page	Official page could not be text-extracted	NON_VISIBLE	2026-09-10	USD150	NON	UNPROVEN IN THIS AUDIT: current $150 not independently captured
united	hold	NOT_OFFERED	SANS_OBJET			Ordinary passenger checked-pet service			https://www.united.com/en/us/fly/travel/traveling-with-pets.html?os=v	Official JS-only page	Official page could not be text-extracted	NON_VISIBLE	2026-09-10	denied	NON	Needs manual/browser evidence before claiming verified
united	cargo	RESTRICTED	NON_TROUVE			PetSafe restricted, notably military/diplomatic eligibility	shipment	Contact PetSafe/cargo	https://www.united.com/en/us/fly/travel/traveling-with-pets.html?os=v	Official JS-only page	Official page could not be text-extracted	NON_VISIBLE	2026-09-10	quote/restricted	NON	Manual official-page capture required
vietnam_airlines	cabin	OFFERED	MATRIX	300/400/600/650 international; 5000000 domestic	USD; VND	Zones A–D; domestic Vietnam	per flight sector; pet+crate	At least 24h	https://www.vietnamairlines.com/in/en/travel-information/special-services/traveling-with-pet/petc-charge	Fees → zones A–D and domestic routes	In Zone A: USD 300; In Zone B: USD 400; In Zone C: USD 600; In Zone D: USD 650	NON_VISIBLE	2026-09-10	USD300–650	NON	MATCH; immediately following row publishes VND 5,000,000 domestic
