airline_id	channel	service_status	tariff_nature	tariff_value	currency	billing_subject	journey_basis	scope_origin	scope_destination	booking_deadline	official_url	locator	quote_verbatim	page_date_visible	verified_date	old_yaml_fee	old_farelist_rows	policy_tariff_source	finder_price_link	note
egyptair	soute	ACCEPTE	FORMULE	≤23 kg 100%/150%; 23–32 150%/200%; 45–75 250%/350%; transit FRA >3h +300 EUR	devise du barème|EUR	animal+contenant	par direction	international	international	≥48 h	https://www.egyptair.com/en/fly/special-services/Pages/traveling-with-pets.aspx	Charges and Frankfurt note	additional EUR 300	—	2026-09-10	By route	4	ABSENTE	NON	Valeurs Canada/USA après barre; pas de montant universel
egyptair	fret	CONDITIONNEL	DEVIS	Sur devis	—	animal au-delà seuils	—	—	—	≥48 h ou cargo	https://www.egyptair.com/en/fly/special-services/Pages/traveling-with-pets.aspx	Cargo threshold	transported as cargo	—	2026-09-10	Quote	4	ABSENTE	NON	Aucun tarif cargo public établi
el_al	cabine	NON_ETABLI	NON_TROUVE	—	—	—	—	—	—	autorisation préalable	https://www.elal.com/media/2pvjlusr/live-animals-cage-guidelines-en.pdf	Cabin cage guide	live animals cage	—	2026-09-10	$100 / NIS50	5	ABSENTE	NON	Guide officiel accessible sans tarif courant
el_al	soute	NON_ETABLI	NON_TROUVE	—	—	—	—	—	—	autorisation préalable	https://www.elal.com/media/2pvjlusr/live-animals-cage-guidelines-en.pdf	Hold cage guide	container guidelines	—	2026-09-10	$200–400	5	ABSENTE	NON	Ancienne grille non corroborée par page actuelle
el_al	fret	NON_ETABLI	NON_TROUVE	—	—	—	—	—	—	contacter compagnie	https://www.elal.com/media/2pvjlusr/live-animals-cage-guidelines-en.pdf	No tariff section	live animals	—	2026-09-10	Quote	5	ABSENTE	NON	Aucun barème cargo public établi
emirates	cabine	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.emirates.com/us/english/before-you-fly/baggage/unusual-baggage-and-special-allowances/	Pets in cabin	Pets are not permitted	—	2026-09-10	—	4	ABSENTE	NON	Faucons/chiens d’assistance selon règles séparées
emirates	soute	ACCEPTE	GRILLE	≤23 kg & ≤150 cm 500; 24–32 kg & 150–300 cm 650; >32 kg & 150–300 cm 800	USD|CAD	animal+contenant	unité de trajet non explicitée	—	—	documents ≥1 semaine	https://www.emirates.com/us/english/before-you-fly/baggage/unusual-baggage-and-special-allowances/	Animal excess baggage charges	USD 500	—	2026-09-10	$500–800	4	ABSENTE	NON	CAD 700/900/1150 aussi publiés
emirates	fret	CONDITIONNEL	DEVIS	Sur devis	—	animal+contenant	—	—	Dubaï, >17h, >300cm ou destination imposant fret	documents ≥1 semaine	https://www.emirates.com/us/english/before-you-fly/baggage/unusual-baggage-and-special-allowances/	Cargo-required cases	must be transported as cargo	—	2026-09-10	Quote	4	ABSENTE	NON	Cargo obligatoire dans les cas listés
ethiopian	cabine	ACCEPTE	GRILLE	International 120 EUR/110 GBP/150 USD; domestique 100 USD; ADD–USA 300 USD	EUR|GBP|USD	animal+contenant	par direction/aller simple	zones publiées	zones publiées	réservation préalable	https://www.ethiopianairlines.com/tz/information/essential-information/optional-service-charges	4. Pet Charges → international online points → Cabin	120 EUR/110GBP/150 USD per direction( for one way)	Effectif 2025-06-20	2026-09-10	$100–300	4	ABSENTE	NON	≤8 kg
ethiopian	soute	ACCEPTE	GRILLE	>8–32 kg 370 USD international/500 ADD-USA; >32–45 kg 500; domestique 500% excédent	USD|formule locale	animal+contenant	par direction/aller simple	zones publiées	zones publiées	réservation préalable	https://www.ethiopianairlines.com/tz/information/essential-information/optional-service-charges	Pets charges	USD 370	Effectif 2025-06-20	2026-09-10	$370–500	4	ABSENTE	NON	Poids et route obligatoires
ethiopian	fret	CONDITIONNEL	DEVIS	Sur devis	—	animal >45 kg ou dossier cargo	—	—	—	contacter cargo	https://www.ethiopianairlines.com/tz/information/essential-information/optional-service-charges	Cargo threshold	above 45 kg	Effectif 2025-06-20	2026-09-10	Quote	4	ABSENTE	NON	Aucun montant public cargo
etihad	cabine	ACCEPTE	EXACT	399	USD	animal+contenant	par vol	—	—	formulaire ≥7 j; documents ≥72 h	https://www.etihad.com/en/plan/travel-companion/travelling-with-pets	Pricing	USD 399 per flight	—	2026-09-10	$399	5	ABSENTE	NON	Business: siège supplémentaire +399; prix daté à reconfirmer
etihad	soute	NON_PROPOSE	SANS_OBJET	—	—	chien/chat ordinaire	—	—	—	—	https://www.etihad.com/en/plan/travel-companion/travelling-with-pets	Hold rules	pets cannot travel in hold	—	2026-09-10	—	5	ABSENTE	NON	Faucons sous règles distinctes
etihad	fret	NON_ETABLI	NON_TROUVE	—	—	—	—	—	—	contacter cargo	https://www.etihad.com/en/plan/travel-companion/travelling-with-pets	Cargo referral	contact Etihad Cargo	—	2026-09-10	Quote	5	ABSENTE	NON	Aucun tarif public général établi
eurowings	cabine	ACCEPTE	STARTING_AT	60 EUR; 53 GBP; 56 CHF; 69 USD; 1449 CZK; 661 SEK; 709 NOK; 448 DKK; 254 PLN; 22909 HUF; 255 AED	MULTI	animal+contenant	par réservation/tronçon non explicitée	marché/route	marché/route	aucun délai trouvé	https://www.eurowings.com/en/information/baggage/travel-with-pets.html	Prices	from €60	—	2026-09-10	from €60	3	ABSENTE	NON	Prix de départ, pas prix garanti
eurowings	soute	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.eurowings.com/en/information/baggage/travel-with-pets.html	Transport restriction	only in the cabin	—	2026-09-10	—	3	ABSENTE	NON	Cabine seulement
eurowings	fret	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.eurowings.com/en/information/baggage/travel-with-pets.html	Transport restriction	only in the cabin	—	2026-09-10	—	3	ABSENTE	NON	Aucun service fret ordinaire
eva_air	cabine	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.evaair.com/en-global/fly-prepare/baggage/travelling-with-pets/	Cabin restriction	Pets are not accepted	—	2026-09-10	—	3	ABSENTE	NON	Chiens d’assistance exceptés
eva_air	soute	ACCEPTE	FORMULE	Jusqu’au 2026-09-28: ≤32kg 2 unités, >32kg 4; dès 2026-09-29: ≤23kg 2, 23–32 3, 32–45 4	unités excédent bagage	animal+contenant	par transport selon route	international EVA/UNI	international EVA/UNI	≥48 h; check-in ≥2 h	https://www.evaair.com/en-global/fly-prepare/baggage/travelling-with-pets/	Pet fee changes	2 units of excess baggage	Changement effectif 2026-09-29	2026-09-10	excess-baggage rate	3	ABSENTE	NON	Au-delà 45 kg évaluation et unités additionnelles
eva_air	fret	NON_ETABLI	NON_TROUVE	—	—	—	—	—	—	contacter compagnie	https://www.evaair.com/en-global/fly-prepare/baggage/travelling-with-pets/	No separate cargo tariff	contact EVA Air	—	2026-09-10	—	3	ABSENTE	NON	Ne pas inventer un devis sans source tarifaire
finnair	cabine	ACCEPTE	GRILLE	Europe 60 ≥7j / 65 ≤6j; intercontinental 120/130	EUR	animal+contenant	aller simple	Europe/intercontinental	Europe/intercontinental	prix différencié à 7 jours	https://www.finnair.com/en/pets-on-finnair-flights	Pet transportation fees	60 EUR / 65 EUR	—	2026-09-10	€60–130	5	ABSENTE	NON	Concorde avec la page Extra baggage fees
finnair	soute	ACCEPTE	CONFLIT	Page animaux: Europe 140, intercontinental 650; page bagages: Europe 120, intercontinental 600; départ US 650/700 selon ligne	EUR|USD	animal+contenant	aller simple	Europe/intercontinental	Europe/intercontinental	confirmer à la réservation	https://www.finnair.com/en/pets-on-finnair-flights | https://www.finnair.com/en/baggage-on-finnair-flights/extra-baggage-fees	Pet transportation fees | Pets	140 EUR / 650 EUR | 120 EUR / 600 EUR	—	2026-09-10	€140–650	5	ABSENTE	NON	CONFLIT OFFICIEL 120/600 contre 140/650; ne choisir aucun jeu
finnair	fret	CONDITIONNEL	DEVIS	Sur devis	—	animal cargo	—	—	—	contacter cargo	https://www.finnair.com/en/pets-on-finnair-flights	Cargo referral	Finnair Cargo	—	2026-09-10	Quote	5	ABSENTE	NON	Aucun tarif cargo public
french_bee	cabine	ACCEPTE	EXACT	100	USD	animal+contenant	par segment	marché anglophone/réseau admissible	marché anglophone/réseau admissible	≤48 h	https://www.frenchbee.com/en/optional-services	Pets in cabin	$100 per segment	Aide mise à jour 2026-07-16	2026-09-10	€75 / $100	3	ABSENTE	NON	Ne pas projeter 75 EUR sans preuve locale actuelle
french_bee	soute	ACCEPTE	EXACT	195	USD	animal+contenant	par segment	marché anglophone/réseau admissible	hors Tahiti	≤48 h	https://www.frenchbee.com/en/optional-services	Pets in hold	$195 per segment	Aide mise à jour 2026-07-16	2026-09-10	€150 / $195	3	ABSENTE	NON	Tahiti exclue; seuils opérationnels à conserver
french_bee	fret	CONDITIONNEL	DEVIS	Sur devis	—	animal hors seuils	—	—	—	≤48 h ou cargo	https://www.frenchbee.com/en/optional-services	Oversize/cargo	contact cargo	Aide mise à jour 2026-07-16	2026-09-10	Quote	3	ABSENTE	NON	Aucun barème cargo public établi
garuda_indonesia	cabine	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.garuda-indonesia.com/static/en/garuda-indonesia-experience/baggage-info.html	Pets	not allowed in cabin	—	2026-09-10	—	3	ABSENTE	NON	Animal ordinaire
garuda_indonesia	soute	CONDITIONNEL	FORMULE	Poids réel animal+contenant × tarif excédent route; minimum 5 kg	devise du barème	poids animal+contenant	par trajet domestique	Indonésie domestique	Indonésie domestique	autorisation préalable	https://www.garuda-indonesia.com/static/en/garuda-indonesia-experience/baggage-info.html	Domestic pets	minimum charge of 5 kg	—	2026-09-10	excess-baggage rate	3	ABSENTE	NON	International chien/chat non accepté comme bagage enregistré
garuda_indonesia	fret	CONDITIONNEL	DEVIS	Sur devis	—	animal cargo	—	—	—	contacter cargo	https://www.garuda-indonesia.com/static/en/garuda-indonesia-experience/baggage-info.html	International cargo referral	must be shipped as cargo	—	2026-09-10	Quote	3	ABSENTE	NON	Aucun tarif public fixe
gulf_air	cabine	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.gulfair.com/cargo	Live animals	carried as cargo	—	2026-09-10	—	4	ABSENTE	NON	Chiens d’assistance selon règles séparées
gulf_air	soute	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.gulfair.com/cargo	Live animals	carried as cargo	—	2026-09-10	—	4	ABSENTE	NON	Cargo uniquement
gulf_air	fret	ACCEPTE	DEVIS	Sur devis	—	envoi vivant	par lettre de transport aérien	—	—	contacter Gulf Air Cargo	https://www.gulfair.com/cargo	Live animals	Master Air Waybill	—	2026-09-10	Quote	4	ABSENTE	NON	Aucun barème public
iberia	cabine	ACCEPTE	GRILLE	Espagne 40 en ligne/44 aéroport; Europe/Canaries/N Afrique/Israël 60/66; Amériques/Asie/Qatar 180/198; connexion max 220	EUR|USD|GBP	contenant (pas nombre d’animaux)	par segment origine-destination	zones publiées	zones publiées	en ligne ou aéroport	https://www.iberia.com/gb/fly-with-iberia/pets/	Fees for pets travelling in the cabin → Spain → Per segment	Online: EUR40/USD50/GBP35	—	2026-09-10	€40–180	5	ABSENTE	NON	Tarif facturé par contenant
iberia	soute	ACCEPTE	GRILLE	90–385 selon zone, connexion et groupe de poids	EUR|USD|GBP	animal+contenant	par segment/connexion	zones publiées	zones publiées	≥48 h; paiement aéroport	https://www.iberia.com/gb/fly-with-iberia/pets/	Pets in hold fees	from EUR 90	—	2026-09-10	€90–330	5	ABSENTE	NON	Ancienne borne 330 trop basse
iberia	fret	CONDITIONNEL	DEVIS	Sur devis	—	envoi cargo	—	—	—	IAG Cargo/agent	https://www.iberia.com/gb/fly-with-iberia/pets/	Cargo referral	IAG Cargo	—	2026-09-10	Quote	5	ABSENTE	NON	Aucun barème cargo public
iberia_express	cabine	ACCEPTE	GRILLE	Espagne 40 EUR; Europe/Canaries/Moyen-Orient/N Afrique 60; long-courrier 180	EUR|USD|GBP	animal+contenant	par tronçon	zones publiées	zones publiées	autorisation préalable	https://www.iberiaexpress.com/en/general-info/passenger-information/before-you-go/travelling-with-pets	Rates for carriage in cabin → Spain excluding Canary Islands	40€/50$/35£ per leg	—	2026-09-10	€40–180	5	ABSENTE	NON	Équivalents 50/73/210 USD et 35/55/165 GBP
iberia_express	soute	ACCEPTE	GRILLE	100/145/360 selon zone	EUR|USD|GBP	animal+contenant	par tronçon	zones publiées	zones publiées	paiement aéroport	https://www.iberiaexpress.com/en/general-info/passenger-information/before-you-go/travelling-with-pets	Rates for carriage in hold → Spain excluding Canary Islands	€100/$120/£90 per leg	—	2026-09-10	€100–360	5	ABSENTE	NON	USD 120/170/435; GBP 90/130/330
iberia_express	fret	CONDITIONNEL	DEVIS	Sur devis	—	envoi cargo	—	—	—	contacter cargo	https://www.iberiaexpress.com/en/general-info/passenger-information/before-you-go/travelling-with-pets	Cargo referral	transported as cargo	—	2026-09-10	Quote	5	ABSENTE	NON	Aucun tarif public
icelandair	cabine	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.icelandair.com/support/special-assistance/animal-transportation/	Cabin policy	pets are not allowed	—	2026-09-10	—	0	ABSENTE	NON	Animaux d’assistance séparés
icelandair	soute	CONDITIONNEL	NON_TROUVE	—	—	animal+contenant	—	Islande domestique	Islande domestique	réservation préalable	https://www.icelandair.com/support/special-assistance/animal-transportation/	Animal in hold service	domestic flights only	International indisponible depuis 2024-11-01	2026-09-10	—	0	ABSENTE	NON	International non proposé; domestique sans prix courant public
icelandair	fret	NON_ETABLI	NON_TROUVE	—	—	—	—	—	—	contacter cargo	https://www.icelandair.com/support/special-assistance/animal-transportation/	Cargo information	contact Icelandair Cargo	—	2026-09-10	—	0	ABSENTE	NON	Aucun tarif public établi
indigo	cabine	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.goindigo.in/information/how-to-book.html	Pet policy	pets are not permitted	—	2026-09-10	—	2	ABSENTE	NON	Chiens d’assistance selon règles distinctes
indigo	soute	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.goindigo.in/information/how-to-book.html	Pet policy	pets are not permitted	—	2026-09-10	—	2	ABSENTE	NON	Aucun service passager
indigo	fret	NON_PROPOSE	SANS_OBJET	—	—	animaux vivants	—	—	—	—	https://aem-beta-skyplus-prod-canary.goindigo.in/cargo/services.html	Cargo exclusions	livestock not accepted	—	2026-09-10	—	2	ABSENTE	NON	Page cargo officielle exclut les animaux vivants
ita_airways	cabine	ACCEPTE	GRILLE	73–230 selon route	EUR|USD	animal+contenant	par vol	marché de départ	zones publiées	autorisation préalable	https://www.ita-airways.com/ae/en/book-and-prepare/other-requests/travelling-with-pets/pet-transportation-charges	Pet transportation charges	Cabin EUR 73	—	2026-09-10	€73–230	5	ABSENTE	NON	Route et marché obligatoires
ita_airways	soute	ACCEPTE	GRILLE	83–300 selon route	EUR|USD	animal+contenant	par vol	marché de départ	zones publiées	autorisation préalable	https://www.ita-airways.com/ae/en/book-and-prepare/other-requests/travelling-with-pets/pet-transportation-charges	Pet transportation charges	Hold EUR 300	—	2026-09-10	€83–330	5	ABSENTE	NON	Ancienne borne 330 incorrecte; maximum publié 300 EUR
ita_airways	fret	NON_ETABLI	NON_TROUVE	—	—	—	—	—	—	contacter cargo	https://www.ita-airways.com/ae/en/book-and-prepare/other-requests/travelling-with-pets/pet-transportation-charges	No cargo tariff	contact cargo	—	2026-09-10	—	5	ABSENTE	NON	Aucun montant public général établi
jal	cabine	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.jal.co.jp/jp/en/inter/baggage/checked/	Cabin policy	cannot be carried onboard	—	2026-09-10	—	3	ABSENTE	NON	Service animal distinct
jal	soute	ACCEPTE	GRILLE	Domestique Japon 5500–7700 JPY; international 25000/40000 JPY ou 250/400 USD-CAD selon zone	JPY|USD|CAD	contenant	par secteur domestique / par caisse international	Japon ou zones internationales	Japon ou zones internationales	réservation préalable	https://www.jal.co.jp/jp/en/dom/fare/f_pet/index.html | https://www.jal.co.jp/jp/en/inter/baggage/checked/	Pet Charge List | International pet fees	JPY 5,500 to 7,700	Page domestique au 2026-08-18	2026-09-10	¥5,500–7,700	3	ABSENTE	NON	Ancien YAML ne couvre que domestique; ne pas projeter à l’international
jal	fret	CONDITIONNEL	DEVIS	Sur devis	—	envoi cargo	—	—	—	transitaire/cargo	https://www.jal.co.jp/jp/en/inter/baggage/checked/	Cargo referral	contact JAL Cargo	—	2026-09-10	Quote	3	ABSENTE	NON	Aucun barème public général
jetblue	cabine	ACCEPTE	NON_TROUVE	—	—	animal+contenant	—	—	—	réservation JetBlue	https://www.jetblue.com/legal/fees	Fees	pet fee not listed	—	2026-09-10	$150 each way	3	ABSENTE	NON	Ancien contrat officiel indiquait 125 USD; page courante ne prouve ni 125 ni 150
jetblue	soute	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.jetblue.com/help/traveling-with-pets	Pet travel	pets travel in cabin	—	2026-09-10	—	3	ABSENTE	NON	Cabine seulement
jetblue	fret	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.jetblue.com/help/traveling-with-pets	Pet travel	pets travel in cabin	—	2026-09-10	—	3	ABSENTE	NON	Aucun service cargo animal ordinaire établi
kenya_airways	cabine	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.kenya-airways.com/en-nl/policies/optional-fees/	Pets	accepted as freight only	—	2026-09-10	—	3	ABSENTE	NON	Fret uniquement
kenya_airways	soute	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.kenya-airways.com/en-nl/policies/optional-fees/	Pets	accepted as freight only	—	2026-09-10	—	3	ABSENTE	NON	Pas de bagage enregistré ordinaire
kenya_airways	fret	ACCEPTE	GRILLE	NBO–NYC 20/kg, minimum 140 + AWB 6 + live animal 34.80 + documentation 34.80 + customs bond 17.40	USD	poids/envoi + frais fixes	par envoi	Nairobi	New York	contacter cargo	https://www.kenya-airways.com/en-nl/policies/optional-fees/	Freight pets	USD 20 per kg	—	2026-09-10	Not published	3	ABSENTE	NON	Autres routes sur devis
klm	cabine	ACCEPTE	RANGE	70–500	EUR	animal+contenant	aller simple	aéroport départ	destination	réservation/centre client	https://www.klm.com/information/pets/reservation	Pet reservation fee	between EUR 70 and EUR 500	—	2026-09-10	€70–500	4	ABSENTE	NON	Prix exact dépend de la route
klm	soute	ACCEPTE	RANGE	70–500	EUR	animal+contenant	aller simple	aéroport départ	destination	réservation/centre client	https://www.klm.com/information/pets/reservation	Costs and restrictions → Costs	The cost of traveling with your pet on KLM ranges from EUR 70 to EUR 500 per one-way flight.	—	2026-09-10	€70–500	4	ABSENTE	NON	Fourchette commune cabine/soute; exact à la réservation
