compagnie;nom;canal;etat_finder_actuel;ancienne_information_disponible;url_officielle;fait_officiel_trouve;preuve_raccordee;tarif_trouve;tarif_raccorde;classe_pre_lecture;categorie_inventaire;action
"airline_aeromexico";"Aeromexico";"hold";"accepted_with_conditions";"éditorial « Allowed » — Checked pet (AVIH): cats, dogs & birds up to 45 kg incl. kennel, on your flight. Not on some Embraer 190. | plafond hérité 45 kg (chien + contenant) | brachycéphales refusés (hérité)";"https://beta.aeromexico.com/es-mx/informacion-de-vuelos/transporte-aereo-de-mascotas";"« Mascota en bodega (AVIH) / Checked pet | Perros, Gatos, Gallos | Sin límite de tiempo (cumpliendo requisitos de cada país) | Bodega | Hasta 45 kg (Incluyendo transportadora) » (Servicios de Mascotas → Tipos de servicios para viajar con tu mascota, es, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Hold (≤ 45 kg): $283–290 / segment";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_aeromexico";"Aeromexico";"cargo";"confirmation_required (legacy_unreviewed)";"éditorial « On request » — Over cabin/hold limits or exotic species, via Aeromexico Cargo (Live Animals).";"https://www.aeromexico.com";"À LIRE (Codex)";"non";"hérité (inventaire, non prouvé) : fareList : Aeromexico Cargo: Quote";"non — aucun tarif n'atteint le Finder aujourd'hui";"ancienne information présente, non raccordée (piste)";"C";"lire la page officielle actuelle (Codex) : citation, locator, langue, date → import"
"airline_air_algerie";"Air Algérie";"cabin";"accepted_with_conditions";"éditorial « Allowed » — Small cats, dogs, hamsters, birds or turtles ≤ 6 kg incl. carrier at your feet (max 55 + 40 + 20 cm); counts as your cabin bag.";"https://airalgerie.dz/en/plan-your-trip/baggage/travel-with-pets/";"« only small pets under 6 kg are accepted on board » (Travel with pets → Pets travelling in cabin, en, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Cabin (≤ 6 kg): Excess-baggage rate";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_algerie";"Air Algérie";"hold";"accepted_with_conditions";"éditorial « Allowed » — Over 6 kg (pet + cage < 23 kg) in a robust, watertight, ventilated crate in a warm, pressurised hold. Not to/from the UK.";"https://airalgerie.dz/en/plan-your-trip/baggage/travel-with-pets/";"« your pet must be transported in the hold » (Travel with pets → Pets travel in the hold, en, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Hold (< 23 kg): Excess-baggage rate";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_algerie";"Air Algérie";"cargo";"confirmation_required (legacy_unreviewed)";"éditorial « Via cargo » — Oversize, or all pets to/from the UK (freight only).";"https://www.airalgerie.dz";"À LIRE (Codex)";"non";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"ancienne information présente, non raccordée (piste)";"C";"lire la page officielle actuelle (Codex) : citation, locator, langue, date → import"
"airline_air_astana";"Air Astana";"cabin";"accepted_with_conditions";"éditorial « Allowed » — Cats, small dogs, tortoises and land snails, 8 kg (17 lb) container included. The carrier size depends on your class: 26 × 40 × 20 cm in Bus";"https://help.airastana.com/hc/ru/sections/4417967707410-%D0%9F%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B7%D0%BA%D0%B0-%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85";"« Перевозка домашних животных (кошек или собак) в салоне самолета разрешена » (Правила и нормы перевозки домашних животных в салоне самолета, ru, lu le 2026-09-09)";"oui";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"relire la page pour un tarif officiel (Codex)"
"airline_air_astana";"Air Astana";"hold";"accepted_with_conditions";"éditorial « Allowed » — Up to 50 kg crate included, from 3 months old, two animals in the hold per flight. Above 40 kg the crate must be made of sturdy wood. Flat-f | brachycéphales refusés (hérité)";"https://help.airastana.com/hc/ru/sections/4417967707410-%D0%9F%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B7%D0%BA%D0%B0-%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85";"« Правила перевозки животных в багажном отсеке » (Правила перевозки животных в багажном отсеке, ru, lu le 2026-09-09)";"oui";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"relire la page pour un tarif officiel (Codex)"
"airline_air_astana";"Air Astana";"cargo";"accepted_with_conditions";"éditorial « Mandatory on some routes » — Cargo is the only option to the United Kingdom, Ireland, South Africa, Australia and the United Arab Emirates — neither cabin nor hold is av";"https://help.airastana.com/hc/ru/sections/4417967707410-%D0%9F%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B7%D0%BA%D0%B0-%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85";"« животные должны быть транспортированы исключительно по грузовой авианакладной » (Существуют ли особые ограничения для других стран?, ru, lu le 2026-09-09)";"oui";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"relire la page pour un tarif officiel (Codex)"
"airline_air_austral";"Air Austral";"cabin";"accepted_with_conditions";"éditorial « Allowed » — Cats and dogs strictly under 8 kg container included, in a soft zip-up bag or a small crate sized like cabin baggage. Air Austral publishes  | plafond hérité 8 kg (chien + contenant)";"https://www.air-austral.com/preparer-mon-vol/demandes-speciales/animaux.html";"« le poids de l'animal + son contenant doit être inférieur à 8 kg » (Animaux acceptés en cabine (PETC), fr, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Cabin: €125 per one-way";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_austral";"Air Austral";"hold";"accepted_with_conditions";"éditorial « Allowed » — From 8 kg and up to 75 kg crate included, in one of five published sizes: T-100 (54 × 41 × 39 cm, 7 kg) up to T-700 (121 × 81 × 90 cm, 55 kg";"https://www.air-austral.com/preparer-mon-vol/demandes-speciales/animaux.html";"« Le transport en soute est obligatoire » (Animaux transportés en soute (AVIH), fr, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Hold: €200 per one-way";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_austral";"Air Austral";"cargo";"confirmation_required (legacy_unreviewed)";"éditorial « Via cargo » — Cargo is required above 75 kg and for any species other than cats and dogs. The same page also routes category 2 dogs to cargo on Réunion → ";"https://www.air-austral.com";"À LIRE (Codex)";"non";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"ancienne information présente, non raccordée (piste)";"C";"lire la page officielle actuelle (Codex) : citation, locator, langue, date → import"
"airline_air_canada";"Air Canada";"cabin";"accepted_with_conditions";"éditorial « Allowed » — One cat or small dog in a soft carrier under the seat; not in Premium Economy or exit rows. Soft-sided only since June 2025. | conditions héritées : One cat or small dog per passenger; soft-sided carrier under the seat; pet at least 10 weeks old.";"https://www.aircanada.com/ca/en/aco/home/plan/special-assistance/pets.html";"« Your cat or small dog is welcome to join you in the cabin, as long as they’re kept in a flexible, soft sided carrier under the seat in front of you. » (Travelling with your Pet → In the Cabin, en, lu le 2026-09-08)";"oui";"hérité (inventaire, non prouvé) : fee hérité : CA/US $50–$60 one-way (higher international) | fareList : Cabin — Canada / US: $50–60 | fareList : Cabin — international: $100–120";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_canada";"Air Canada";"hold";"accepted_with_conditions";"éditorial « Allowed » — Cats & dogs as checked baggage (pet + kennel ≤ 45 kg) in the pressurised hold — subject to heavy seasonal and aircraft limits. | conditions héritées : Hard-sided kennel; pet plus kennel max 45 kg; snub-nosed breeds barred; seasonal heat/cold embargoes; no pets 18 Dec–4 J";"https://www.aircanada.com/ca/en/aco/home/plan/special-assistance/pets.html";"« Your pet can't fly in the cabin with you? It can still travel safely and comfortably on the same flight as you, in the pressurized cargo compartment of most of our aircraft. » (Travelling with your Pet → In the Baggage Compartment, en, lu le 2026-09-08)";"oui";"hérité (inventaire, non prouvé) : fee hérité : CA/US $105–$126 (Canada/US); $270–$324 international | fareList : Hold — Canada / US: $105–126 | fareList : Hold — international: $270–324";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_canada";"Air Canada";"cargo";"confirmation_required (official_source_unquoted)";"éditorial « On request » — Unaccompanied pets, oversize kennels, more than 2 pets, or winter transport. Drop-off at a cargo facility. | conditions héritées : Via Air Canada Cargo (AC Animals) for pets travelling alone or kennels over 45 kg.";"https://www.aircanada.com/ca/en/aco/home/plan/special-assistance/pets.html";"À LIRE (Codex)";"non";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"ancienne information présente, non raccordée (piste)";"B";"lire la page officielle actuelle (Codex) : citation, locator, langue, date → import"
"airline_air_caraibes";"Air Caraïbes";"cabin";"accepted_with_conditions";"éditorial « Allowed » — Dogs, cats & small rodents ≤ 8 kg incl. carrier (transatlantic) in a soft bag under the seat (max 43 × 35 × 20 cm). Snub-nosed allowed here.";"https://www.aircaraibes.com/avant-voyage/demandes-particulieres/animaux";"« sont uniquement les chiens, chats » (Animaux en cabine → Présentation, fr, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Cabin — transatlantic: €75 | fareList : Cabin — short-haul: €10";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_caraibes";"Air Caraïbes";"hold";"accepted_with_conditions";"éditorial « Allowed » — Dogs & cats only (AVIH) up to 75 kg incl. cage (transatlantic) in a rigid travel crate. Two pets ≤ 14 kg each may share. | brachycéphales refusés (hérité)";"https://www.aircaraibes.com/avant-voyage/demandes-particulieres/animaux";"« sont les chiens et chats uniquement (sous réserve d'acceptation de la compagnie). » (Animaux en soute → Présentation, fr, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Hold — transatlantic: €150 | fareList : Hold — short-haul: €20";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_caraibes";"Air Caraïbes";"cargo";"accepted_with_conditions";"éditorial « Via freight » — Other species, oversize, and snub-nosed dogs/cats (barred from hold & FRET on transatlantic).";"https://www.aircaraibes.com/avant-voyage/demandes-particulieres/animaux";"« devront voyager par FRET. » (Animaux en soute → Règles de transport, fr, lu le 2026-09-09)";"oui";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"relire la page pour un tarif officiel (Codex)"
"airline_air_china";"Air China";"cabin";"accepted_with_conditions";"éditorial « Not allowed » — Pets can't enter the cabin — only trained service dogs. Cats & dogs travel in the hold. | conditions héritées : Pet dogs and cats on flights operated by Air China only: advance booking, a maximum of 2 pets per flight and 1 per passe";"https://m.airchina.com.cn/ac/c/invoke/specialService/petCabinAgreement%40pg";"« A maximum of 2 pets are permitted per flight, and each passenger may bring no more than 1 pet into the cabin. » (Agreement for In-Cabin Transportation of Pets → I. Carrier's Regulations on Pet Transportation, en, lu le 2026-09-09)";"oui";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"relire la page pour un tarif officiel (Codex)"
"airline_air_china";"Air China";"hold";"accepted_with_conditions";"éditorial « Allowed » — Cats & dogs (≤ 32 kg incl. container) in an oxygen-equipped hold; not on A319/A320/737-8MAX/ARJ21. One per passenger; check in 120 min ahead";"https://www.airchina.com.cn/en-US/content/travel_info/preparing/luggage/check/small_animals/";"« Should you require your pet to be carried as checked baggage, please ensure that you submit an application when you make your reservation, as pets will only be carried following approval by Air China. » (Pets as Checked Baggage → Carriage requirements, en, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Hold (≤ 32 kg): Special-baggage fee";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_china";"Air China";"cargo";"confirmation_required (legacy_unreviewed)";"éditorial « Via cargo » — Larger animals travel via Air China Cargo.";"https://www.airchina.com";"À LIRE (Codex)";"non";"hérité (inventaire, non prouvé) : fareList : Cargo (large): Quote";"non — aucun tarif n'atteint le Finder aujourd'hui";"ancienne information présente, non raccordée (piste)";"C";"lire la page officielle actuelle (Codex) : citation, locator, langue, date → import"
"airline_air_europa";"Air Europa";"cabin";"accepted_with_conditions";"éditorial « Allowed » — Dogs & cats only (pet ≤ 8 kg, pet + carrier ≤ 10 kg) in a soft carrier under the seat (max 40 × 30 × 30 cm). Not in Business. | plafond hérité 8 kg (chien seul)";"https://www.aireuropa.com/us/en/aea/informacion-para-volar/pasajeros/mascotas.html";"« Maximum Weight: The weight of the pet cannot exceed 8 kg. The overall weight of the carrier and pet cannot exceed 10 kg. » (Flying with pets on board → Animals in the cabin, en, lu le 2026-09-08)";"oui";"hérité (inventaire, non prouvé) : fareList : Cabin — domestic Spain: €35 | fareList : Cabin — Europe/Africa/America: €50 | fareList : Cabin — long-haul: €150–175";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_europa";"Air Europa";"hold";"accepted_with_conditions";"éditorial « Allowed » — Cats & dogs (pet + kennel ≤ 50 kg) in a rigid kennel with a metal door; two similar pets ≤ 14 kg each may share. | brachycéphales refusés (hérité)";"https://www.aireuropa.com/us/en/aea/informacion-para-volar/pasajeros/mascotas.html";"« Pets may travel on board or in the aircraft hold depending on their species, breed and weight. » (Flying with pets on board → How can I fly with my pet?, en, lu le 2026-09-08)";"oui";"hérité (inventaire, non prouvé) : fareList : Hold (domestic → long-haul): €90–350";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_europa";"Air Europa";"cargo";"confirmation_required (legacy_unreviewed)";"éditorial « Via cargo » — Other species, more than 5 pets, and all pets to/from the UK.";"https://www.aireuropa.com";"À LIRE (Codex)";"non";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"ancienne information présente, non raccordée (piste)";"C";"lire la page officielle actuelle (Codex) : citation, locator, langue, date → import"
"airline_air_france";"Air France";"cabin";"accepted_with_conditions";"éditorial « Allowed » — Dog or cat under 8 kg, soft ventilated bag under the seat (46 × 28 × 24 cm). | plafond hérité 8 kg (chien + contenant) | conditions héritées : One animal per carrier, minimum 15 weeks old; soft bag under the seat. Snub-nosed breeds allowed in the cabin.";"https://wwws.airfrance.fr/information/passagers/voyager-avec-son-animal-chien-chat";"« En cabine (chats et chiens de moins de 8 kg, sac de transport compris) » (Transport de chiens, de chats et autres animaux de compagnie → option En cabine, fr, lu le 2026-09-10)";"oui";"hérité (inventaire, non prouvé) : fee hérité : €70 (within France) to €200 (US/Canada–Europe)";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_france";"Air France";"hold";"accepted_with_conditions";"éditorial « Allowed » — From 8 kg up to 75 kg (kennel included). Add ≥ 24 h before departure. | plafond hérité 75 kg (chien + contenant) | conditions héritées : Pet plus IATA kennel from 8 to 75 kg; snub-nosed breeds not accepted in the hold; not available in intercontinental Busi";"https://wwws.airfrance.fr/en/information/passagers/voyager-avec-son-animal-chien-chat";"« If your cat or dog weighs more than 8 kg/17.64 lb. and up to 75 kg/165.35 lb. with its carrier, it must travel in the hold. » (Important!, en, lu le 2026-09-08)";"oui";"hérité (inventaire, non prouvé) : fee hérité : €100 to €600";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_france";"Air France";"cargo";"confirmation_required (official_source_unquoted)";"éditorial « On request » — Over 75 kg or when the route requires it. Via an authorised handler. | conditions héritées : Via an approved cargo transporter — the only option to the UK, Dubai and Abu Dhabi.";"https://wwws.airfrance.us/information/passagers/voyager-avec-son-animal-chien-chat";"À LIRE (Codex)";"non";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"ancienne information présente, non raccordée (piste)";"B";"lire la page officielle actuelle (Codex) : citation, locator, langue, date → import"
"airline_air_india";"Air India";"cabin";"accepted_with_conditions";"éditorial « Allowed » — Cats & dogs (8 weeks+) ≤ 10 kg incl. carrier in a soft kennel under the seat (last 5 rows, Economy); max 2/flight. Not to US/Canada/UK/Austr | plafond hérité 10 kg (chien + contenant)";"https://www.airindia.com/in/en/frequently-asked-questions/pet-travel.html";"« The combined weight of the pet and the carrier must not exceed 10 kg / 22 lb to travel in the cabin. Pets of heavier weight will be carried in the aircraft hold. » (Pet Travel FAQ → maximum permissible weight in cabin, en, lu le 2026-09-08)";"oui";"hérité (inventaire, non prouvé) : fareList : Cabin — domestic: ₹7,500 | fareList : Cabin — international: $140–225 / sector";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_india";"Air India";"hold";"accepted_with_conditions";"éditorial « Allowed » — Pets 10–32 kg incl. carrier as checked baggage in a hard travel crate; availability depends on the aircraft. | brachycéphales refusés (hérité)";"https://www.airindia.com/in/en/frequently-asked-questions/pet-travel.html";"« We allow passengers to travel with their domesticated cats and dogs on board our domestic and select international flights in the passenger cabin or the aircraft hold as checked baggage, subject to approvals by Air India. » (Pet Travel FAQ → What is Air India’s pet policy?, en, lu le 2026-09-08)";"oui";"hérité (inventaire, non prouvé) : fareList : Hold — domestic: ₹16,000 | fareList : Hold — international: $350";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_air_india";"Air India";"cargo";"accepted_with_conditions";"éditorial « Via cargo » — Over 32 kg and UK routes via Air India Cargo (airport-to-airport); not on ultra-long-haul US/Canada.";"https://www.airindia.com/in/en/frequently-asked-questions/pet-travel.html";"« If your pet weighs more than 10 kg / 22 lb, then it must be transported as checked baggage. If the combined weight of the pet and the container is over 32 kg / 70 lb they must be carried as cargo. » (Pet Travel FAQ → When does my pet need to be transported as checked baggage or cargo?, en, lu le 2026-09-08)";"oui";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"relire la page pour un tarif officiel (Codex)"
"airline_air_mauritius";"Air Mauritius";"cabin";"denied";"éditorial « Not allowed » — Strict no-pets-in-cabin policy — only guide dogs for passengers with disabilities.";"https://www.airmauritius.com/en-de/help/faq/travelling-with-pets";"« Kindly be advised that Air Mauritius adheres to a no-pets policy for in-cabin transportation. » (FAQ Travelling with pets → Can I travel with my pet onboard the cabin?, en, lu le 2026-09-09)";"oui";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"relire la page pour un tarif officiel (Codex)"
